./tableaux-prog 3 1 6 2 2 9/59 
******** gamma_E(6, 2, 2) résolution ENTIERE (1) valeur cible >=0.152542
	**** solution optimale trouvée de valeur 0.152542 (inverse 6.555556) =9.000000/59.000000
0 0 0 0 0 0 	Psi: -0.000000	Phi: 19.000000
0 0 0 2 2 0 	Psi: 1.000000	Phi: -0.000000
0 0 0 2 2 2 	Psi: 3.000000	Phi: -0.000000
0 0 0 3 3 3 	Psi: 3.000000	Phi: -0.000000
0 0 0 4 4 4 	Psi: 1.000000	Phi: -0.000000
0 0 0 5 1 0 	Psi: 0.000000	Phi: 1.000000
0 0 1 0 0 1 	Psi: 2.000000	Phi: -0.000000
0 0 3 3 3 0 	Psi: 3.000000	Phi: -0.000000
0 0 3 5 2 2 	Psi: 0.000000	Phi: 1.000000
0 0 4 0 4 4 	Psi: 2.000000	Phi: -0.000000
0 0 4 1 1 0 	Psi: 0.000000	Phi: 1.000000
0 0 4 4 0 0 	Psi: 2.000000	Phi: -0.000000
0 0 4 4 2 2 	Psi: 0.000000	Phi: 1.000000
0 0 4 4 4 0 	Psi: 2.000000	Phi: -0.000000
0 0 4 4 4 4 	Psi: 1.000000	Phi: -0.000000
0 0 5 0 0 5 	Psi: 5.000000	Phi: -0.000000
0 0 5 4 2 1 	Psi: 0.000000	Phi: 2.000000
0 1 0 0 1 0 	Psi: 3.000000	Phi: -0.000000
0 1 0 1 0 1 	Psi: 4.000000	Phi: -0.000000
0 1 1 0 1 1 	Psi: 2.000000	Phi: -0.000000
0 1 2 3 4 5 	Psi: 0.000000	Phi: 9.000000 (*)
0 2 0 0 0 4 	Psi: 0.000000	Phi: 1.000000
0 2 0 0 2 2 	Psi: 1.000000	Phi: -0.000000
0 2 0 2 0 2 	Psi: -0.000000	Phi: 2.000000
0 2 0 2 1 1 	Psi: 0.000000	Phi: 1.000000
0 2 1 0 0 3 	Psi: 0.000000	Phi: 1.000000
0 2 1 0 2 1 	Psi: 0.000000	Phi: 3.000000
0 2 2 0 2 2 	Psi: 4.000000	Phi: -0.000000
0 2 2 2 0 0 	Psi: 3.000000	Phi: -0.000000
0 2 2 2 2 0 	Psi: 2.000000	Phi: -0.000000
0 2 4 2 2 2 	Psi: 0.000000	Phi: 1.000000
0 2 5 5 3 3 	Psi: 0.000000	Phi: 1.000000
0 3 0 2 1 0 	Psi: 0.000000	Phi: 1.000000
0 3 3 0 2 4 	Psi: 0.000000	Phi: 1.000000
0 3 3 3 0 0 	Psi: 3.000000	Phi: -0.000000
0 3 5 1 3 0 	Psi: 0.000000	Phi: 1.000000
0 4 0 0 4 0 	Psi: 2.000000	Phi: -0.000000
0 4 3 1 0 4 	Psi: 0.000000	Phi: 1.000000
0 4 3 1 3 1 	Psi: 0.000000	Phi: 1.000000
0 4 4 0 0 4 	Psi: 2.000000	Phi: -0.000000
0 4 4 0 4 0 	Psi: 1.000000	Phi: -0.000000
0 4 4 2 2 0 	Psi: 0.000000	Phi: 2.000000
0 4 4 4 3 3 	Psi: 0.000000	Phi: 1.000000
0 5 0 0 5 0 	Psi: 3.000000	Phi: -0.000000
0 5 0 5 0 5 	Psi: 4.000000	Phi: -0.000000
0 5 3 2 0 2 	Psi: 0.000000	Phi: 1.000000
0 5 3 5 3 2 	Psi: 0.000000	Phi: 1.000000
0 5 4 0 5 4 	Psi: 0.000000	Phi: 2.000000
0 5 4 4 1 4 	Psi: 0.000000	Phi: 1.000000
0 5 4 4 3 2 	Psi: 0.000000	Phi: 1.000000
0 5 5 2 5 1 	Psi: 0.000000	Phi: 1.000000
